"submitted_name_rl","scientificname","rl1998","rl2018","trend","L","T","C","M","R","N"
"Arnica montana subsp. montana","Arnica montana subsp. montana","3","3","<<",8,4,NA,5,3,3
"Arnoseris minima (L.) Schweigg. & Körte","Arnoseris minima (L.) Schweigg. & Körte","2","2","<<",7,6,2,4,3,3
"Arrhenatherum elatius (L.) J. Presl & C. Presl","Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl.","*","*",">",7,5,NA,5,7,7
"Arrhenatherum elatius subsp. elatius","Arrhenatherum elatius subsp. elatius","*","*",">",7,5,NA,5,7,7
"Artemisia absinthium L.","Artemisia absinthium L.","*","*","=",9,6,7,4,7,8
"Artemisia annua L.","Artemisia annua L.","*","nb",NA,9,7,7,4,7,6
"Artemisia austriaca Jacq.","Artemisia austriaca Jacq.","*","nb",NA,8,8,NA,2,7,4
"Artemisia biennis Willd.","Artemisia biennis Willd.","kN","nb",NA,NA,NA,NA,NA,NA,NA
"Artemisia campestris L.","Artemisia campestris L.","*","*","=",9,6,5,2,5,2
"Artemisia campestris subsp. campestris","Artemisia campestris subsp. campestris","*","*","<",8,7,NA,2,6,3
"Artemisia campestris subsp. lednicensis (Spreng.) Greuter & Raab-Straube","Artemisia campestris subsp. lednicensis (Spreng.) Greuter & Raab-Straube","*","*","=",8,7,NA,2,6,3
"Artemisia dracunculus L.","Artemisia dracunculus L.","*","nb",NA,8,7,NA,3,6,6
"Artemisia laciniata Willd.","Artemisia laciniata Willd.","0","0",NA,NA,NA,NA,NA,NA,NA
"Artemisia laciniata subsp. laciniata","Artemisia laciniata subsp. laciniata","0","0",NA,NA,NA,NA,NA,NA,NA
"Artemisia maritima L.","Artemisia maritima L.","*","*","=",NA,NA,NA,NA,NA,NA
"Artemisia maritima subsp. maritima","Artemisia maritima subsp. maritima","*","*","=",NA,NA,NA,NA,NA,NA
"Artemisia mutellina S.G. Gmel.","Artemisia mutellina S.G.Gmel.","R","R","=",NA,NA,NA,NA,NA,NA
"Artemisia pontica L.","Artemisia pontica L.","*","nb",NA,9,7,6,3,7,4
"Artemisia rupestris L.","Artemisia rupestris L.","1","1","<<",9,6,8,7,8,3
"Artemisia scoparia Waldst. & Kit.","Artemisia scoparia Waldst. & Kit.","*","1","<<",9,6,NA,3,8,5
"Artemisia tournefortiana Rchb.","Artemisia tournefortiana Rchb.","*","nb",NA,8,7,NA,4,6,6
"Artemisia verlotiorum Lamotte","Artemisia verlotiorum Lamotte","*","nb",NA,9,6,3,6,7,8
"Artemisia vulgaris L.","Artemisia vulgaris L.","*","*","=",7,6,NA,5,6,8
"Arum cylindraceum Gasp.","Arum cylindraceum Gasp.","kN","R","=",3,5,NA,6,7,8
"Arum maculatum L.","Arum maculatum L.","*","*","=",3,6,NA,6,7,8
"Aruncus dioicus (Walter) Fernald","Aruncus dioicus (Walter) Fernald","*","*","=",4,4,NA,6,7,8
"Asarina procumbens Mill.","Asarina procumbens Mill.","*","nb",NA,NA,NA,NA,NA,NA,NA
"Asarum europaeum L.","Asarum europaeum L.","*","*","=",3,6,5,5,7,6
"Asarum europaeum subsp. caucasicum (Duch.) Soó","Asarum europaeum subsp. caucasicum (Duchartre) Soó","*","D","?",NA,NA,NA,NA,NA,NA
"Asarum europaeum subsp. europaeum","Asarum europaeum subsp. europaeum","*","*","=",3,5,NA,5,7,6
"Asclepias syriaca L.","Asclepias syriaca L.","*","nb",NA,8,7,NA,5,7,6
"Asparagus officinalis L.","Asparagus officinalis L.","*","*","=",7,7,NA,3,7,4
"Asparagus officinalis subsp. officinalis","Asparagus officinalis subsp. officinalis","*","*","=",7,7,NA,3,7,4
"Asperugo procumbens L.","Asperugo procumbens L.","3","2","<<",7,6,6,4,8,9
"Asperula arvensis L.","Asperula arvensis L.","0","0",NA,7,7,NA,4,9,4
"Asperula cynanchica L.","Asperula cynanchica L.","V","V","<",7,7,5,3,8,3
"Asperula cynanchica subsp. cynanchica","Asperula cynanchica subsp. cynanchica","V","V","<",NA,NA,NA,NA,NA,NA
"Asperula neilreichii Beck","Asperula neilreichii Beck","*","R","?",NA,NA,NA,NA,NA,NA
"Asperula tinctoria L.","Asperula tinctoria L.","3","3","<",6,6,NA,4,8,3
"Asplenium adiantum-nigrum L.","Asplenium adiantum-nigrum L.","*","3","<",6,7,2,4,2,3
"Asplenium adiantum-nigrum subsp. adiantum-nigrum","Asplenium adiantum-nigrum subsp. adiantum-nigrum","*","3","<",NA,NA,NA,NA,NA,NA
"Asplenium cuneifolium Viv.","Asplenium cuneifolium Viv.","2","2","<",6,5,4,5,6,1
"Asplenium adulterinum Milde","Asplenium adulterinum Milde","2","2","<<",5,4,4,5,6,1
"Asplenium ceterach L.","Asplenium ceterach L.","3","3","<",6,7,NA,3,7,3
"Asplenium ceterach subsp. ceterach","Asplenium ceterach subsp. ceterach","3","3","<",6,7,NA,3,7,3
"Asplenium fissum Willd.","Asplenium fissum Willd.","R","2","=",7,2,4,5,8,3
"Asplenium fontanum (L.) Bernh.","Asplenium fontanum (L.) Bernh.","R","R","?",6,5,2,6,8,2
"Asplenium obovatum Viv.","Asplenium obovatum Viv.","R","R","=",NA,NA,NA,NA,NA,NA
"Asplenium obovatum subsp. billotii (F.W. Schultz) O. Bolòs et al.","Asplenium obovatum subsp. billotii (F.W.Schultz) O.Bolòs, Vigo, Masalles & Ninot","R","R","=",NA,NA,NA,NA,NA,NA
"Asplenium ruta-muraria L.","Asplenium ruta-muraria L.","*","*","=",8,5,3,3,8,2
"Asplenium ruta-muraria subsp. ruta-muraria","Asplenium ruta-muraria subsp. ruta-muraria","*","*","=",8,5,NA,3,8,3
"Asplenium scolopendrium L.","Asplenium scolopendrium L.","*","*","<",3,4,NA,7,8,7
"Asplenium scolopendrium subsp. scolopendrium","Asplenium scolopendrium subsp. scolopendrium","*","*","<",3,4,NA,7,8,7
"Asplenium seelosii Leyb.","Asplenium seelosii Leyb.","R","R","=",NA,NA,NA,NA,NA,NA
"Asplenium seelosii subsp. seelosii","Asplenium seelosii subsp. seelosii","R","R","=",NA,NA,NA,NA,NA,NA
"Asplenium septentrionale (L.) Hoffm.","Asplenium septentrionale (L.) Hoffm.","*","V","<",8,6,4,3,2,2
"Asplenium trichomanes L.","Asplenium trichomanes L.","*","*","<",5,5,NA,4,6,3
"Asplenium trichomanes subsp. hastatum (Christ) S. Jess.","Asplenium trichomanes subsp. hastatum (Christ) S.Jess.","*","D","?",4,5,NA,4,9,3
"Asplenium trichomanes subsp. pachyrachis (Christ) Lovis & Reichst.","Asplenium trichomanes subsp. pachyrachis (Christ) Lovis & Reichst.","*","D","?",5,5,NA,4,8,3
"Asplenium trichomanes subsp. quadrivalens D.E. Mey.","Asplenium trichomanes subsp. quadrivalens D.E.Mey.","*","*","<",5,5,NA,4,6,3
"Asplenium trichomanes subsp. trichomanes","Asplenium trichomanes subsp. trichomanes","*","D","?",4,5,NA,4,4,3
"Asplenium viride Huds.","Asplenium viride Huds.","*","V","<",4,4,3,6,8,3
"Aster alpinus L.","Aster alpinus L.","*","*","=",9,2,5,5,7,2
"Aster alpinus subsp. alpinus","Aster alpinus subsp. alpinus","*","*","=",NA,NA,NA,NA,NA,NA
"Aster amellus L.","Aster amellus L.","V","3","<",8,6,NA,3,8,3
"Aster bellidiastrum (L.) Scop.","Aster bellidiastrum (L.) Scop.","*","*","=",7,3,4,5,8,4
"Astragalus alpinus L.","Astragalus alpinus L.","*","1","=",9,2,7,4,6,NA
"Astragalus arenarius L.","Astragalus arenarius L.","2","2","<",7,7,7,2,7,1
"Astragalus australis (L.) Lam.","Astragalus australis (L.) Lam.","*","1","=",9,1,8,5,7,2
"Astragalus cicer L.","Astragalus cicer L.","3","V","<",7,6,NA,4,8,4
"Astragalus danicus Retz.","Astragalus danicus Retz.","3","3","<",8,7,NA,4,8,4
"Astragalus exscapus L.","Astragalus exscapus L.","3","2","<",9,7,NA,2,9,3
"Astragalus exscapus subsp. exscapus","Astragalus exscapus subsp. exscapus","3","2","<",NA,NA,NA,NA,NA,NA
"Astragalus frigidus (L.) A. Gray","Astragalus frigidus (L.) A.Gray","*","*","=",NA,NA,NA,NA,NA,NA
"Astragalus frigidus subsp. frigidus","Astragalus frigidus (L.) A.Gray","*","*","=",NA,NA,NA,NA,NA,NA
"Astragalus glycyphyllos L.","Astragalus glycyphyllos L.","*","*","=",6,6,4,4,7,3
"Astragalus glycyphyllos subsp. glycyphyllos","Astragalus glycyphyllos L.","*","*","=",6,6,4,4,7,3
"Astragalus penduliflorus Lam.","Astragalus penduliflorus Lam.","*","R","=",7,1,7,4,7,1
"Astrantia bavarica F.W. Schultz","Astrantia bavarica F.W.Schultz","*","3","=",7,2,4,5,8,4
"Astrantia major L.","Astrantia major L.","*","*","<",6,4,4,6,8,5
"Astrantia major subsp. involucrata (W.D.J. Koch) Ces.","Astrantia major subsp. involucrata (W.D.J.Koch) Ces.","*","D","?",NA,NA,NA,NA,NA,NA
"Astrantia major subsp. major","Astrantia major subsp. major","*","*","<",5,4,NA,6,7,6
"Athamanta cretensis L.","Athamanta cretensis L.","*","*","=",NA,NA,NA,NA,NA,NA
"Athyrium distentifolium Opiz","Athyrium distentifolium Tausch ex Opiz","*","*","=",5,3,NA,6,6,6
"Athyrium filix-femina (L.) Roth","Athyrium filix-femina (L.) Roth","*","*","=",3,5,NA,6,5,6
"Atocion armeria (L.) Raf.","Atocion armeria (L.) Raf.","*","3","<",NA,NA,NA,NA,NA,NA
"Atocion rupestre (L.) Oxelman","Atocion rupestre (L.) Oxelman","*","*","=",NA,NA,NA,NA,NA,NA
"Atriplex laciniata L.","Atriplex laciniata L.","1","1","<",9,6,NA,7,7,8
"Atriplex littoralis L.","Atriplex littoralis L.","*","*","=",NA,NA,NA,NA,NA,NA
"Atriplex micrantha Ledeb.","Atriplex micrantha Ledeb.","*","nb",NA,NA,NA,NA,NA,NA,NA
"Atriplex northusana Wein","Atriplex ×northusanum Wein","kN","nb",NA,NA,NA,NA,NA,NA,NA
"Atriplex oblongifolia Waldst. & Kit.","Atriplex oblongifolia Waldst. & Kit.","*","nb",NA,9,7,6,4,6,6
"Atriplex patula L.","Atriplex patula L.","*","*","=",6,6,NA,5,7,7
"Atriplex pedunculata L.","Atriplex pedunculata L.","3","3","<",NA,NA,NA,NA,NA,NA
"Atriplex portulacoides L.","Atriplex portulacoides L.","*","*","=",NA,NA,NA,NA,NA,NA
"Atriplex calotheca (Rafn) Fr.","Atriplex calotheca (Rafn) Fr.","2","2","<",9,6,NA,6,7,8
"Atriplex glabriuscula Edmondston","Atriplex glabriuscula Edmondston","*","2","<",9,6,4,7,7,9
"Atriplex longipes Drejer","Atriplex longipes Drejer & Fr.","*","*","=",NA,NA,NA,NA,NA,NA
"Atriplex praecox Hülph.","Atriplex praecox Hülph.","kN","R","?",NA,NA,NA,NA,NA,NA
"Atriplex prostrata DC.","Atriplex prostrata DC.","*","*",">",8,7,NA,7,7,8
"Atriplex prostrata subsp. deltoidea (Bab.) Rauschert","Atriplex prostrata subsp. deltoidea (Bab.) Rauschert","nb","D","?",NA,NA,NA,NA,NA,NA
"Atriplex prostrata subsp. latifolia (Wahlenb.) Rauschert","Atriplex prostrata subsp. latifolia (Wahlenb.) Rauschert","nb","D","?",8,7,NA,7,7,8
"Atriplex prostrata subsp. prostrata","Atriplex prostrata subsp. prostrata","nb","D","?",NA,NA,NA,NA,NA,NA
"Atriplex prostrata subsp. triangularis (Willd.) Rauschert","Atriplex prostrata subsp. triangularis (Willd.) Rauschert","nb","D","?",NA,NA,NA,NA,NA,NA
"Atriplex rosea L.","Atriplex rosea L.","*","3","<",9,6,7,5,7,7
"Atriplex sagittata Borkh.","Atriplex sagittata Borkh.","*","*",">",9,7,NA,5,7,7
"Atriplex tatarica L.","Atriplex tatarica L.","*","nb",NA,9,7,NA,4,7,6
"Atriplex tatarica subsp. tatarica","Atriplex tatarica subsp. tatarica","*","nb",NA,NA,NA,NA,NA,NA,NA
"Atropa bella-donna L.","Atropa belladonna L.","*","*","=",6,5,2,5,8,8
"Aurinia saxatilis (L.) Desv.","Aurinia saxatilis (L.) Desv.","3","3","<",9,7,4,2,8,1
"Aurinia saxatilis subsp. saxatilis","Aurinia saxatilis subsp. saxatilis","3","3","<",9,7,NA,1,6,2
"Avena fatua L.","Avena fatua L.","*","*",">",6,6,6,5,7,7
"Avena strigosa Schreb.","Avena strigosa Schreb.","*","D","?",NA,NA,NA,NA,NA,NA
"Avena vilis Wallr.","Avena vilis Wallr.","nb","D","?",NA,NA,NA,NA,NA,NA
"Azolla filiculoides Lam.","Azolla filiculoides Lam.","*","nb",NA,7,8,NA,11,6,8
"Baldellia ranunculoides (L.) Parl.","Baldellia ranunculoides (L.) Parl.","2","2","<<",NA,NA,NA,NA,NA,NA
"Baldellia ranunculoides subsp. ranunculoides","Baldellia ranunculoides var. ranunculoides","nb","2","<<",NA,NA,NA,NA,NA,NA
"Baldellia ranunculoides subsp. repens (Lam.) Á. Löve & D. Löve","Baldellia ranunculoides subsp. repens (Lam.) Á.Löve & D.Löve","nb","D","?",NA,NA,NA,NA,NA,NA
"Ballota nigra L.","Ballota nigra L.","*","*","<",7,6,NA,5,7,8
"Ballota nigra subsp. meridionalis (Bég.) Bég.","Ballota nigra subsp. meridionalis (Bég.) Bég.","*","V","<",7,6,NA,5,7,8
"Ballota nigra subsp. nigra","Ballota nigra subsp. nigra","*","*","<",7,6,NA,5,7,8
"Barbarea intermedia Boreau","Barbarea intermedia Boreau","*","*","=",NA,NA,NA,NA,NA,NA
"Barbarea stricta Andrz.","Barbarea stricta Andrz.","*","*","<",NA,NA,NA,NA,NA,NA
"Barbarea vulgaris L., s. l.","Barbarea vulgaris (L.) W.T.Aiton","*","*","=",8,6,NA,6,6,6
"Barbarea arcuata (J. Presl & C. Presl) Rchb.","Barbarea arcuata (Opiz) Rchb.","nb","*","=",NA,NA,NA,NA,NA,NA
"Barbarea vulgaris R. Br., s. str.","Barbarea vulgaris R.Br.","nb","*","=",NA,NA,NA,NA,NA,NA
"Barbarea vulgaris subsp. rivularis (Martrin-Donos) Sudre","Barbarea vulgaris subsp. rivularis (Martrin-Donos) Sudre, 1907","nb","D","?",NA,NA,NA,NA,NA,NA
"Barbarea vulgaris subsp. vulgaris","Barbarea vulgaris subsp. vulgaris","nb","D","?",8,6,NA,6,6,6
"Bartsia alpina L.","Bartsia alpina L.","*","*","=",8,3,3,8,7,3
"Bassia laniflora (S.G. Gmel.) A.J. Scott","Bassia laniflora (S.G.Gmel.) A.J.Scott","1","2","<",9,8,NA,2,5,2
"Bassia scoparia (L.) Voss","Bassia scoparia (L.) Voss","*","nb",NA,NA,NA,NA,NA,NA,NA
"Bellis perennis L.","Bellis perennis L.","*","*","=",8,5,NA,5,5,6
"Berberis vulgaris L.","Berberis vulgaris L.","*","*","<",7,6,4,4,8,3
"Berberis vulgaris subsp. vulgaris","Berberis vulgaris subsp. vulgaris","*","*","<",NA,NA,NA,NA,NA,NA
"Berteroa incana (L.) DC.","Berteroa incana (L.) DC.","*","nb",NA,9,6,7,3,6,4
"Berula erecta (Huds.) Coville","Berula erecta (Huds.) Coville","*","*","=",8,6,3,1,8,6
"Beta vulgaris L.","Beta vulgaris L.","R","*","=",NA,NA,NA,NA,NA,NA
"Beta vulgaris subsp. maritima (L.) Arcang.","Beta vulgaris subsp. maritima (L.) Arcang.","R","*","=",9,6,4,6,7,9
"Betonica alopecuros L.","Betonica alopecuros L.","*","*","=",7,2,4,5,8,3
"Betonica alopecuros subsp. jacquinii (Godr.) O. Schwarz","Betonica alopecuros subsp. jacquinii (Gren. & Godr.) O.Schwarz","*","*","=",NA,NA,NA,NA,NA,NA
"Betonica officinalis L.","Betonica officinalis L.","*","V","(<)",6,6,NA,4,7,4
"Betonica officinalis subsp. officinalis","Betonica officinalis subsp. officinalis","*","V","(<)",NA,NA,NA,NA,NA,NA
"Betula humilis Schrank","Betula humilis Schrank","2","2","<",7,5,8,9,4,3
"Betula nana L.","Betula nana L.","2","1","<<",8,3,6,9,1,2
"Betula pendula Roth","Betula pendula Roth","*","*","=",7,5,NA,5,4,3
"Betula pubescens Ehrh.","Betula pubescens Ehrh.","*","*","=",7,5,NA,8,3,3
"Betula pubescens subsp. carpatica (Willd.) Simonk.","Betula pubescens subsp. carpatica (Willd.) Simonk.","*","*","=",NA,NA,NA,NA,NA,NA
"Betula pubescens subsp. pubescens","Betula pubescens subsp. pubescens","*","*","=",NA,NA,NA,NA,NA,NA
"Bidens cernua L.","Bidens cernua L.","*","*","<",8,6,5,9,7,9
"Bidens connata Willd.","Bidens connata Muhl. ex Willd.","*","nb",NA,8,7,NA,9,7,8
"Bidens frondosa L.","Bidens frondosa L.","*","nb",NA,7,6,NA,8,7,8
"Bidens radiata Thuill.","Bidens radiata Thuill.","*","*",">",8,6,NA,9,6,8
"Bidens tripartita L.","Bidens tripartita L.","*","*","=",8,6,NA,9,6,8
"Bidens tripartita subsp. tripartita","Bidens tripartita subsp. tripartita","*","*","=",NA,NA,NA,NA,NA,NA
"Bifora radians M. Bieb.","Bifora radians M.Bieb.","*","nb",NA,8,7,NA,4,8,6
"Biscutella laevigata L.","Biscutella laevigata L.","*","*","=",8,5,NA,3,7,2
"Biscutella laevigata subsp. gracilis Mach.-Laur.","Biscutella laevigata subsp. gracilis Mach.-Laur.","3","2","<",NA,NA,NA,NA,NA,NA
"Biscutella laevigata subsp. guestphalica Mach.-Laur.","Biscutella laevigata subsp. guestphalica Mach.-Laur.","R","R","=",NA,NA,NA,NA,NA,NA
"Biscutella laevigata subsp. kerneri Mach.-Laur.","Biscutella laevigata subsp. kerneri Mach.-Laur.","*","3","=",NA,NA,NA,NA,NA,NA
"Biscutella laevigata subsp. laevigata","Biscutella laevigata subsp. laevigata","*","*","=",NA,NA,NA,NA,NA,NA
"Biscutella laevigata subsp. subaphylla Mach.-Laur.","Biscutella laevigata subsp. subaphylla Mach.-Laur.","*","D","?",NA,NA,NA,NA,NA,NA
"Biscutella laevigata subsp. tenuifolia (Wallr.) Mach.-Laur.","Biscutella laevigata subsp. tenuifolia (Bluff & Fingerh.) Mach.-Laur.","2","1","<",NA,NA,NA,NA,NA,NA
"Biscutella laevigata subsp. varia (Dumort.) Rouy & Foucaud","Biscutella laevigata subsp. varia (Dumort.) Rouy & Foucaud","*","*","=",8,5,NA,3,7,2
"Bistorta officinalis Delarbre","Bistorta officinalis Delarbre","V","*","<",NA,NA,NA,NA,NA,NA
"Bistorta officinalis subsp. officinalis","Bistorta officinalis subsp. officinalis","V","*","<",NA,NA,NA,NA,NA,NA
"Bistorta vivipara (L.) Delarbre","Bistorta vivipara (L.) Delarbre","*","*","=",NA,NA,NA,NA,NA,NA
"Blackstonia acuminata (W.D.J. Koch & Ziz) Domin","Blackstonia acuminata (Koch & Ziz) Domin","3","2","<",8,9,3,7,6,3
"Blackstonia perfoliata (L.) Huds.","Blackstonia perfoliata (L.) Huds.","2","2","<",NA,NA,NA,NA,NA,NA
"Blechnum spicant (L.) Roth","Blechnum spicant (L.) Roth","*","*","<",3,3,2,6,2,3
"Blysmus compressus (L.) Link","Blysmus compressus (L.) Panz. ex Link","2","2","<<",8,5,5,8,8,3
"Blysmus rufus (Huds.) Link","Blysmus rufus (Huds.) Link","2","2","<",8,6,NA,7,7,4
"Bolboschoenus laticarpus Marhold et al.","Bolboschoenus laticarpus Marhold, Hroudová, Duchácek & Zákr.","nb","*","=",8,6,NA,10,8,6
"Bolboschoenus maritimus (L.) Palla","Bolboschoenus maritimus (L.) Palla","nb","*","=",8,6,NA,10,8,7
"Bolboschoenus planiculmis (F. Schmidt) T.V. Egorova","Bolboschoenus planiculmis (F.Schmidt) T.V.Egorova","nb","D","?",8,7,NA,9,8,7
"Bolboschoenus yagara (Ohwi) Y.C. Yang & M. Zhan","Bolboschoenus yagara (Ohwi) Y.C.Yang & M.Zhan","nb","*","=",8,6,NA,10,7,6
"Bothriochloa ischoemum (L.) Keng","Bothriochloa ischaemum (L.) Keng","3","3","<",9,7,6,3,8,3
"Botrychium lunaria (L.) Sw.","Botrychium lunaria (L.) Sw.","3","3","<<",8,5,NA,4,5,2
"Botrychium matricariifolium (Döll) W.D.J. Koch","Botrychium matricariifolium (Döll) A.Braun ex Koch","2","2","<<",7,4,4,4,3,2
"Botrychium matricariifolium subsp. matricariifolium","Botrychium matricariifolium subsp. matricariifolium","2","2","<<",NA,NA,NA,NA,NA,NA
"Botrychium multifidum (S.G. Gmel.) Rupr.","Botrychium multifidum (S.G.Gmel.) Rupr.","1","1","<<",6,4,4,6,4,2
"Botrychium multifidum subsp. multifidum","Botrychium multifidum var. multifidum","1","1","<<",NA,NA,NA,NA,NA,NA
"Botrychium simplex E. Hitchc.","Botrychium simplex E.Hitchc.","2","1","<<",6,4,4,5,1,2
"Botrychium virginianum (L.) Sw.","Botrychium virginianum (L.) Sw.","R","1","<",6,3,4,5,4,1
"Botrychium virginianum subsp. europaeum (Ångstr.) R.T. Clausen","Botrychium virginianum subsp. europaeum (Ångstr.) Clausen","R","1","<",NA,NA,NA,NA,NA,NA
"Brachypodium phoenicoides (L.) Roem. & Schult.","Brachypodium phoenicoides (L.) Roem. & Schult.","kN","nb",NA,NA,NA,NA,NA,NA,NA
"Brachypodium pinnatum (L.) P. Beauv.","Brachypodium pinnatum (L.) P.Beauv.","*","*","=",6,5,5,4,7,4
"Brachypodium rupestre (Host) Roem. & Schult.","Brachypodium rupestre (Host) Roem. & Schult.","*","*","=",7,5,4,4,7,3
"Brachypodium sylvaticum (Huds.) P. Beauv.","Brachypodium sylvaticum (Huds.) P.Beauv.","*","*","=",3,5,3,5,6,6
"Brachypodium sylvaticum subsp. sylvaticum","Brachypodium sylvaticum subsp. sylvaticum","*","*","=",NA,NA,NA,NA,NA,NA
"Brassica napus L.","Brassica napus L.","kN","nb",NA,7,6,NA,6,7,8
"Brassica napus subsp. napus","Brassica napus subsp. napus","kN","nb",NA,NA,NA,NA,NA,NA,NA
"Brassica nigra (L.) W.D.J. Koch","Brassica nigra (L.) W.D.J.Koch","*","*","=",8,7,5,8,8,7
"Brassica oleracea L.","Brassica oleracea L.","*","R","=",NA,NA,NA,NA,NA,NA
"Brassica rapa L.","Brassica rapa L.","*","D","?",8,6,NA,5,7,7
"Brassica rapa subsp. campestris (L.) A.R. Clapham","Brassica rapa subsp. campestris (L.) A.R.Clapham","*","D","?",NA,NA,NA,NA,NA,NA
"Briza media L.","Briza media L.","V","*","<",8,5,NA,5,5,3
"Briza media subsp. media","Briza media L.","V","*","<",8,5,NA,5,5,3
"Bromus arvensis L.","Bromus arvensis L.","3","V","<<",6,6,4,4,8,4
"Bromus arvensis subsp. arvensis","Bromus arvensis L.","nb","V","<<",6,6,4,4,8,4
"Bromus arvensis subsp. parviflorus (Desf.) H. Scholz","Bromus arvensis subsp. parviflorus (Desf.) H.Scholz","nb","D","?",NA,NA,NA,NA,NA,NA
"Bromus arvensis subsp. segetalis H. Scholz","Bromus arvensis subsp. segetalis H.Scholz","nb","0",NA,NA,NA,NA,NA,NA,NA
"Bromus brachystachys Hornung","Bromus brachystachys Hornung","kN","0",NA,NA,NA,NA,NA,NA,NA
"Bromus carinatus Hook. & Arn.","Bromus carinatus Hook. & Arn.","kN","nb",NA,NA,NA,NA,NA,NA,NA
"Bromus erectus Huds.","Bromus erectus Huds.","*","*","=",8,5,2,3,8,3
"Bromus erectus subsp. erectus","Bromus erectus subsp. erectus","nb","*","=",NA,NA,NA,NA,NA,NA
"Bromus erectus subsp. longiflorus (Spreng.) Arcang.","Bromus erectus subsp. longiflorus (Spreng.) Arcang.","nb","D","?",NA,NA,NA,NA,NA,NA
"Bromus hordeaceus L.","Bromus hordeaceus L.","*","*","=",8,6,NA,5,6,5
"Bromus hordeaceus subsp. hordeaceus","Bromus hordeaceus subsp. hordeaceus","*","*","=",8,6,NA,5,6,5
"Bromus hordeaceus subsp. longipedicellatus Spalton","Bromus hordeaceus subsp. longipedicellatus Spalton","nb","D","?",NA,NA,NA,NA,NA,NA
"Bromus hordeaceus subsp. mediterraneus (H. Scholz & F.M. Vázquez) H. Scholz","Bromus hordeaceus subsp. mediterraneus (H.Scholz & F.M.Vázquez) H.Scholz","nb","D","?",NA,NA,NA,NA,NA,NA
"Bromus hordeaceus subsp. pseudothominei (P.M. Sm.) H. Scholz","Bromus hordeaceus subsp. pseudothominei (P.M.Sm.) H.Scholz","*","D","?",NA,NA,NA,NA,NA,NA
"Bromus hordeaceus subsp. thominei (Hardouin) Braun-Blanq.","Bromus hordeaceus subsp. thominei (Hardouin) Braun-Blanq.","*","*","=",NA,NA,NA,NA,NA,NA
"Bromus lepidus Holmb.","Bromus lepidus Holmb.","*","D","?",NA,NA,NA,NA,NA,NA
"Bromus incisus R. Otto & H. Scholz","Bromus incisus R.Otto & H.Scholz","kN","D","?",NA,NA,NA,NA,NA,NA
"Bromus inermis Leyss.","Bromus inermis Leyss.","*","*",">",8,6,7,4,8,5
"Bromus japonicus Thunb.","Bromus japonicus Thunb.","*","nb",NA,NA,NA,NA,NA,NA,NA
"Bromus japonicus subsp. japonicus","Bromus japonicus subsp. japonicus","nb","nb",NA,NA,NA,NA,NA,NA,NA
"Bromus japonicus subsp. subsquarrosus (Borbás) Pénzes","Bromus japonicus subsp. subsquarrosus (Borbás) Pénzes","nb","nb",NA,NA,NA,NA,NA,NA,NA
"Bromus commutatus Schrad.","Bromus commutatus Schrad.","*","*","?",6,7,4,4,7,3
"Bromus commutatus subsp. commutatus","Bromus commutatus subsp. commutatus","nb","V","<",NA,NA,NA,NA,NA,NA
"Bromus commutatus subsp. decipiens (Bomble & H. Scholz) H. Scholz","Bromus commutatus subsp. decipiens (Bomble & H.Scholz) H.Scholz","nb","*","?",NA,NA,NA,NA,NA,NA
"Bromus racemosus L.","Bromus racemosus L.","3","3","<<",6,6,2,8,5,5
"Bromus racemosus subsp. lusitanicus (Sales & P.M. Sm.) H. Scholz & Spalton","Bromus racemosus subsp. lusitanicus (Sales & P.M.Sm.) H.Scholz & Spalton","nb","D","?",NA,NA,NA,NA,NA,NA
"Bromus racemosus subsp. racemosus","Bromus racemosus subsp. racemosus","3","3","<<",NA,NA,NA,NA,NA,NA
"Bromus benekenii (Lange) Trimen","Bromus benekenii (Lange) Trimen","*","*","=",5,5,NA,5,7,6
"Bromus ramosus Huds.","Bromus ramosus Huds.","*","*","=",5,6,NA,5,7,6
"Bromus grossus DC.","Bromus grossus Desf. ex DC.","1","2","<<",6,7,4,5,7,NA
"Bromus pseudosecalinus P.M. Sm.","Bromus pseudosecalinus P.M.Sm.","kN","D","?",NA,NA,NA,NA,NA,NA
"Bromus pseudosecalinus subsp. pseudosecalinus","Bromus pseudosecalinus subsp. pseudosecalinus","kN","D","?",NA,NA,NA,NA,NA,NA
"Bromus secalinus L.","Bromus secalinus L.","*","*","<",7,6,NA,5,5,5
"Bromus secalinus subsp. billotii (F.W. Schultz) Hegi","Bromus secalinus subsp. billotii (F.W.Schultz) Asch. & Graebn.","nb","D","?",NA,NA,NA,NA,NA,NA
"Bromus secalinus subsp. infestus H. Scholz","Bromus secalinus subsp. infestus H.Scholz","nb","*","?",NA,NA,NA,NA,NA,NA
"Bromus secalinus subsp. secalinus","Bromus secalinus var. secalinus","*","*","<<",NA,NA,NA,NA,NA,NA
"Bromus squarrosus L.","Bromus squarrosus L.","kN","nb",NA,8,8,7,3,8,3
"Bromus sterilis L.","Bromus sterilis L.","*","*",">",7,6,NA,4,6,7
"Bromus tectorum L.","Bromus tectorum L.","*","*","=",8,6,7,3,8,4
"Bryonia alba L.","Bryonia alba L.","*","V","<",7,6,5,5,7,6
"Bryonia dioica Jacq.","Bryonia dioica Jacq.","*","*","=",7,6,3,5,8,6
